Label: Vasto lateral direito: EMG 1->Scale->Math->Filter Sampling frequency: 1,925926e+003 Number of points: 58682 X start: 0,000000e+000 Unit: Volts Domain Unit: s
X [s]	Vasto lateral direito: EMG 1->Scale->Math->Filter [Volts]
2,170385e-001	4,114882e-005
2,175577e-001	4,121370e-005
2,180769e-001	4,126763e-005
2,185962e-001	4,131187e-005
2,191154e-001	4,134923e-005
2,196346e-001	4,138498e-005
2,201538e-001	4,141669e-005
2,206731e-001	4,143955e-005
2,211923e-001	4,145706e-005
2,217115e-001	4,147265e-005
2,222308e-001	4,148442e-005
2,227500e-001	4,148947e-005
2,232692e-001	4,148416e-005
2,237885e-001	4,146619e-005
2,243077e-001	4,143689e-005
2,248269e-001	4,139955e-005
2,253462e-001	4,135920e-005
2,258654e-001	4,132317e-005
2,263846e-001	4,129782e-005
2,269038e-001	4,128435e-005
2,274231e-001	4,127801e-005
2,279423e-001	4,127263e-005
2,284615e-001	4,126367e-005
2,289808e-001	4,124735e-005
2,295000e-001	4,122309e-005
2,300192e-001	4,119313e-005
2,305385e-001	4,115607e-005
2,310577e-001	4,110827e-005
2,315769e-001	4,104857e-005
2,320962e-001	4,097743e-005
2,326154e-001	4,089524e-005
2,331346e-001	4,080298e-005
2,336538e-001	4,070286e-005
2,341731e-001	4,059490e-005
2,346923e-001	4,047686e-005
2,352115e-001	4,034877e-005
2,357308e-001	4,021413e-005
2,362500e-001	4,007823e-005
2,367692e-001	3,994358e-005
2,372885e-001	3,980895e-005
2,378077e-001	3,967379e-005
2,383269e-001	3,953815e-005
2,388462e-001	3,939994e-005
2,393654e-001	3,925945e-005
2,398846e-001	3,912092e-005
2,404038e-001	3,898354e-005
2,409231e-001	3,884147e-005
2,414423e-001	3,869145e-005
2,419615e-001	3,853338e-005
2,424808e-001	3,836929e-005
2,430000e-001	3,820328e-005
2,435192e-001	3,803772e-005
2,440385e-001	3,787073e-005
2,445577e-001	3,769869e-005
2,450769e-001	3,752005e-005
2,455962e-001	3,733489e-005
2,461154e-001	3,714478e-005
2,466346e-001	3,695317e-005
2,471538e-001	3,675982e-005
2,476731e-001	3,656120e-005
2,481923e-001	3,635617e-005
2,487115e-001	3,614828e-005
2,492308e-001	3,594945e-005
2,497500e-001	3,577629e-005
2,502692e-001	3,563687e-005
2,507885e-001	3,552244e-005
2,513077e-001	3,541682e-005
2,518269e-001	3,531566e-005
2,523462e-001	3,522807e-005
2,528654e-001	3,515715e-005
2,533846e-001	3,509148e-005
2,539038e-001	3,501911e-005
2,544231e-001	3,493698e-005
2,549423e-001	3,484556e-005
2,554615e-001	3,474579e-005
2,559808e-001	3,464030e-005
2,565000e-001	3,453245e-005
2,570192e-001	3,442530e-005
2,575385e-001	3,432316e-005
2,580577e-001	3,423252e-005
2,585769e-001	3,415910e-005
2,590962e-001	3,410517e-005
2,596154e-001	3,406837e-005
2,601346e-001	3,403995e-005
2,606538e-001	3,401170e-005
2,611731e-001	3,398698e-005
2,616923e-001	3,397229e-005
2,622115e-001	3,396350e-005
2,627308e-001	3,395221e-005
2,632500e-001	3,393726e-005
2,637692e-001	3,391991e-005
2,642885e-001	3,389682e-005
2,648077e-001	3,386489e-005
2,653269e-001	3,382385e-005
2,658462e-001	3,377434e-005
2,663654e-001	3,371893e-005
2,668846e-001	3,365985e-005
2,674038e-001	3,359600e-005
2,679231e-001	3,352570e-005
2,684423e-001	3,344929e-005
2,689615e-001	3,336869e-005
2,694808e-001	3,328546e-005
2,700000e-001	3,319880e-005
2,705192e-001	3,310583e-005
2,710385e-001	3,300427e-005
2,715577e-001	3,289388e-005
2,720769e-001	3,277551e-005
2,725962e-001	3,265232e-005
2,731154e-001	3,253287e-005
2,736346e-001	3,242707e-005
2,741538e-001	3,233836e-005
2,746731e-001	3,226022e-005
2,751923e-001	3,218232e-005
2,757115e-001	3,210083e-005
2,762308e-001	3,201810e-005
2,767500e-001	3,193778e-005
2,772692e-001	3,186356e-005
2,777885e-001	3,179679e-005
2,783077e-001	3,173448e-005
2,788269e-001	3,167199e-005
2,793462e-001	3,160518e-005
2,798654e-001	3,153248e-005
2,803846e-001	3,145654e-005
2,809038e-001	3,137765e-005
2,814231e-001	3,129451e-005
2,819423e-001	3,121075e-005
2,824615e-001	3,112866e-005
2,829808e-001	3,104601e-005
2,835000e-001	3,096177e-005
2,840192e-001	3,087693e-005
2,845385e-001	3,079086e-005
2,850577e-001	3,070094e-005
2,855769e-001	3,060607e-005
2,860962e-001	3,050663e-005
2,866154e-001	3,040286e-005
2,871346e-001	3,029809e-005
2,876538e-001	3,019782e-005
2,881731e-001	3,010308e-005
2,886923e-001	3,001082e-005
2,892115e-001	2,992095e-005
2,897308e-001	2,983754e-005
2,902500e-001	2,976296e-005
2,907692e-001	2,969435e-005
2,912885e-001	2,962517e-005
2,918077e-001	2,955193e-005
2,923269e-001	2,947984e-005
2,928462e-001	2,941470e-005
2,933654e-001	2,935277e-005
2,938846e-001	2,928851e-005
2,944038e-001	2,922461e-005
2,949231e-001	2,916762e-005
2,954423e-001	2,912373e-005
2,959615e-001	2,909528e-005
2,964808e-001	2,907571e-005
2,970000e-001	2,905609e-005
2,975192e-001	2,903599e-005
2,980385e-001	2,902052e-005
2,985577e-001	2,901373e-005
2,990769e-001	2,901765e-005
2,995962e-001	2,903081e-005
3,001154e-001	2,904870e-005
3,006346e-001	2,906686e-005
3,011538e-001	2,908088e-005
3,016731e-001	2,909003e-005
3,021923e-001	2,910094e-005
3,027115e-001	2,912046e-005
3,032308e-001	2,915103e-005
3,037500e-001	2,919288e-005
3,042692e-001	2,924147e-005
3,047885e-001	2,929031e-005
3,053077e-001	2,934115e-005
3,058269e-001	2,939918e-005
3,063462e-001	2,946001e-005
3,068654e-001	2,951414e-005
3,073846e-001	2,956021e-005
3,079038e-001	2,960678e-005
3,084231e-001	2,966152e-005
3,089423e-001	2,972222e-005
3,094615e-001	2,977984e-005
3,099808e-001	2,982800e-005
3,105000e-001	2,986550e-005
3,110192e-001	2,989219e-005
3,115385e-001	2,990841e-005
3,120577e-001	2,991597e-005
3,125769e-001	2,991655e-005
3,130962e-001	2,991104e-005
3,136154e-001	2,990422e-005
3,141346e-001	2,990488e-005
3,146538e-001	2,991445e-005
3,151731e-001	2,992501e-005
3,156923e-001	2,993224e-005
3,162115e-001	2,994111e-005
3,167308e-001	2,995951e-005
3,172500e-001	2,999339e-005
3,177692e-001	3,004297e-005
3,182885e-001	3,009938e-005
3,188077e-001	3,015361e-005
3,193269e-001	3,020794e-005
3,198462e-001	3,026852e-005
3,203654e-001	3,033518e-005
3,208846e-001	3,040589e-005
3,214038e-001	3,048142e-005
3,219231e-001	3,056076e-005
3,224423e-001	3,063812e-005
3,229615e-001	3,070809e-005
3,234808e-001	3,076999e-005
3,240000e-001	3,082568e-005
3,245192e-001	3,087594e-005
3,250385e-001	3,091960e-005
3,255577e-001	3,095485e-005
3,260769e-001	3,098098e-005
3,265962e-001	3,099839e-005
3,271154e-001	3,100676e-005
3,276346e-001	3,100620e-005
3,281538e-001	3,099981e-005
3,286731e-001	3,099189e-005
3,291923e-001	3,098480e-005
3,297115e-001	3,097823e-005
