Label: Vasto lateral direito: EMG 1->Scale->Math Sampling frequency: 1,925926e+003 Number of points: 58682 X start: 0,000000e+000 Unit: Volts Domain Unit: s
X [s]	Vasto lateral direito: EMG 1->Scale->Math [Volts]
1,500577e-001	1,881758e-005
1,505769e-001	9,663081e-006
1,510962e-001	1,525750e-006
1,516154e-001	4,916305e-006
1,521346e-001	1,034119e-005
1,526538e-001	1,983475e-005
1,531731e-001	2,559869e-005
1,536923e-001	2,949782e-005
1,542115e-001	2,966735e-005
1,547308e-001	2,186908e-005
1,552500e-001	1,542702e-005
1,557692e-001	2,390341e-005
1,562885e-001	4,034760e-005
1,568077e-001	5,306218e-005
1,573269e-001	6,001282e-005
1,578462e-001	6,475960e-005
1,583654e-001	7,137117e-005
1,588846e-001	9,001922e-005
1,594038e-001	1,100235e-004
1,599231e-001	1,154484e-004
1,604423e-001	1,001909e-004
1,609615e-001	7,272740e-005
1,614808e-001	5,306218e-005
1,620000e-001	4,526391e-005
1,625192e-001	3,848280e-005
1,630385e-001	2,136049e-005
1,635577e-001	6,102998e-006
1,640769e-001	3,424460e-005
1,645962e-001	5,102785e-005
1,651154e-001	5,323171e-005
1,656346e-001	3,983902e-005
1,661538e-001	2,559869e-005
1,666731e-001	2,203860e-005
1,671923e-001	1,983475e-005
1,677115e-001	1,847852e-005
1,682308e-001	3,119310e-005
1,687500e-001	4,492485e-005
1,692692e-001	4,628107e-005
1,697885e-001	3,966949e-005
1,703077e-001	4,526391e-005
1,708269e-001	7,340551e-005
1,713462e-001	1,073111e-004
1,718654e-001	1,212123e-004
1,723846e-001	1,157874e-004
1,729038e-001	9,985183e-005
1,734231e-001	6,459007e-005
1,739423e-001	1,780041e-005
1,744615e-001	1,576608e-005
1,749808e-001	2,254719e-005
1,755000e-001	3,034546e-005
1,760192e-001	4,441626e-005
1,765385e-001	2,627680e-005
1,770577e-001	1,712230e-005
1,775769e-001	4,441626e-005
1,780962e-001	5,323171e-005
1,786154e-001	4,865446e-005
1,791346e-001	4,034760e-005
1,796538e-001	6,052140e-005
1,801731e-001	8,561150e-005
1,806923e-001	8,052568e-005
1,812115e-001	6,119951e-005
1,817308e-001	4,984115e-005
1,822500e-001	5,340124e-005
1,827692e-001	5,340124e-005
1,832885e-001	3,390555e-005
1,838077e-001	1,339269e-005
1,843269e-001	1,525750e-006
1,848462e-001	3,899138e-006
1,853654e-001	1,322316e-005
1,858846e-001	2,797208e-005
1,864038e-001	3,373602e-005
1,869231e-001	2,525963e-005
1,874423e-001	1,966522e-005
1,879615e-001	3,237980e-005
1,884808e-001	5,594415e-005
1,890000e-001	6,882826e-005
1,895192e-001	6,831968e-005
1,900385e-001	7,374456e-005
1,905577e-001	8,696772e-005
1,910769e-001	8,696772e-005
1,915962e-001	6,865873e-005
1,921154e-001	5,136690e-005
1,926346e-001	5,255360e-005
1,931538e-001	6,543771e-005
1,936731e-001	6,696346e-005
1,941923e-001	5,797848e-005
1,947115e-001	5,374029e-005
1,952308e-001	6,018235e-005
